,AAPL,AXP,BA,CAT,CVX,CSCO,DIS,DD,XOM,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UTX,UNH,VZ,V,WMT
2016-01-04,-2.739999999999995,0.5,0.8799999999999955,-1.1099999999999994,0.6800000000000068,-0.019999999999999574,0.14000000000000057,2.240000000000002,0.04000000000000625,-0.16000000000000014,1.3499999999999943,-0.9599999999999795,-0.3499999999999943,0.10999999999999943,1.2299999999999898,-0.3300000000000054,-0.05999999999999517,-0.3299999999999983,1.2300000000000182,0.46999999999999886,-0.4799999999999969,0.4100000000000037,-0.09999999999999787,-0.010000000000005116,0.7399999999999949,-1.1199999999999903,-0.45000000000000284,0.19999999999999574,-0.35999999999999943,-0.9600000000000009
2016-01-05,3.0400000000000063,0.8200000000000074,0.07999999999998408,1.0999999999999943,-0.5600000000000023,-0.25,-1.769999999999996,-1.5500000000000043,0.9300000000000068,0.05999999999999872,2.6200000000000045,0.7199999999999989,-0.9099999999999966,-0.13000000000000256,-0.3200000000000074,-0.02999999999999403,0.23999999999999488,1.7900000000000063,-0.6400000000000148,-0.35999999999999943,0.11999999999999744,0.6600000000000037,0.0,0.18000000000000682,0.5499999999999972,-0.5799999999999983,-0.03999999999999204,0.29999999999999716,0.01999999999999602,-0.8900000000000006
2016-01-06,-0.14000000000000057,0.8199999999999932,0.0,0.23999999999999488,-1.3700000000000045,0.06999999999999673,-0.980000000000004,0.07000000000000028,-0.8299999999999983,-0.019999999999999574,1.4699999999999989,0.0800000000000125,-0.789999999999992,0.1700000000000017,0.5700000000000074,0.09000000000000341,-0.11999999999999744,-0.4000000000000057,-1.0999999999999943,-0.0899999999999963,-0.2700000000000031,-0.19000000000000483,-0.120000000000001,-0.18999999999999773,-0.29999999999999716,-0.7800000000000011,-0.29000000000000625,-0.030000000000001137,0.269999999999996,1.0700000000000003
2016-01-07,-2.230000000000004,0.5300000000000011,-3.3700000000000045,-1.1400000000000006,1.5300000000000011,-0.0799999999999983,0.5400000000000063,-0.9600000000000009,0.1700000000000017,-0.6799999999999997,-2.049999999999983,-1.5300000000000011,-0.839999999999975,0.4400000000000013,0.09000000000000341,1.1899999999999977,-0.030000000000001137,-1.7800000000000011,1.5500000000000114,0.4399999999999977,0.5300000000000011,-0.5399999999999991,-0.23999999999999844,-0.3300000000000125,-1.0600000000000023,-0.4300000000000068,1.539999999999992,0.15000000000000568,-0.030000000000001137,-2.0600000000000023
2016-01-08,1.5900000000000034,-0.5500000000000043,3.7099999999999795,1.0399999999999991,1.2600000000000051,0.7699999999999996,-1.3799999999999955,1.3299999999999983,-1.6599999999999966,0.75,2.8100000000000023,2.539999999999992,1.5500000000000114,0.5800000000000018,-1.7199999999999989,2.210000000000001,-0.14000000000000057,0.269999999999996,0.8700000000000045,1.4299999999999997,0.03999999999999915,1.1900000000000048,0.5500000000000007,1.3900000000000006,1.0200000000000102,-1.1699999999999875,2.1899999999999977,0.8299999999999983,-1.1800000000000068,1.5399999999999991
2016-01-11,-0.4399999999999977,-0.30999999999999517,0.6399999999999864,-2.200000000000003,-2.0799999999999983,-0.33999999999999986,0.28999999999999204,1.8299999999999983,1.3200000000000074,-0.03999999999999915,-0.7299999999999898,-0.9099999999999966,-1.4199999999999875,-0.25000000000000355,0.6700000000000017,0.0,0.0,1.039999999999992,-0.5099999999999909,0.0,-0.21000000000000085,-0.5799999999999983,0.0799999999999983,-0.5,0.3200000000000074,0.5900000000000034,0.9300000000000068,0.01999999999999602,-0.8100000000000023,0.46000000000000085
2016-01-12,-0.5900000000000034,-0.3999999999999915,0.339999999999975,0.8399999999999963,0.04999999999999716,-0.16000000000000014,0.4899999999999949,0.9499999999999957,1.0799999999999983,-0.120000000000001,-1.1799999999999784,0.7099999999999937,-0.75,-0.0799999999999983,0.25,-0.490000000000002,-0.17999999999999972,-0.4099999999999966,-0.5,0.25,-0.020000000000003126,-0.4100000000000037,-0.379999999999999,-0.4899999999999949,0.29000000000000625,-0.4899999999999949,1.9000000000000057,-0.3100000000000023,0.2400000000000091,-0.759999999999998
2016-01-13,2.9299999999999926,0.7999999999999972,-4.579999999999984,-1.1799999999999997,-1.8299999999999983,-0.8200000000000003,3.3999999999999915,-2.1499999999999986,-0.19999999999998863,0.6700000000000017,7.469999999999999,-6.069999999999993,-2.3300000000000125,-0.8499999999999979,-1.4699999999999989,2.1199999999999974,0.3200000000000003,-2.569999999999993,-2.1699999999999875,1.25,-2.1599999999999966,-1.75,0.7199999999999989,-1.1200000000000045,-2.2099999999999937,-1.8400000000000034,3.1799999999999926,0.9600000000000009,-2.1700000000000017,1.8099999999999952
2016-01-14,-1.5600000000000023,-0.4399999999999977,0.3900000000000148,-1.0300000000000011,-3.519999999999996,0.030000000000001137,-0.45999999999999375,-0.509999999999998,2.910000000000011,-0.75,-1.089999999999975,1.6700000000000017,-0.9799999999999898,-0.7700000000000031,-1.7900000000000063,-0.04000000000000625,0.10999999999999943,-1.0300000000000011,-1.4399999999999977,-1.1299999999999955,-1.1099999999999994,0.490000000000002,-0.7199999999999989,-0.05000000000001137,-1.0400000000000063,0.06999999999999318,-2.0200000000000102,-0.6499999999999986,-0.6499999999999915,-1.0600000000000023
2016-01-15,0.9299999999999926,0.8799999999999955,-0.1700000000000017,0.3499999999999943,-2.030000000000001,-0.3099999999999987,-1.7199999999999989,-1.6199999999999974,-1.25,-0.34999999999999787,-1.089999999999975,2.1099999999999994,0.020000000000010232,0.030000000000001137,-0.6299999999999955,0.5899999999999963,0.5499999999999972,0.9200000000000017,0.38999999999998636,0.6400000000000006,-0.3200000000000003,0.6300000000000026,0.0,0.480000000000004,1.8199999999999932,-1.3599999999999994,0.18999999999999773,0.39000000000000057,-0.10999999999999943,0.38000000000000256
