,AAPL,AXP,BA,CAT,CSCO,CVX,DD,DIS,GE,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,UTX,V,VZ,WMT,XOM
2016-05-23,0.5600000000000023,-0.269999999999996,-0.1799999999999926,-0.6000000000000085,,-0.19999999999998863,1.1200000000000045,-0.4199999999999875,-0.030000000000001137,-1.009999999999991,0.4200000000000159,-0.8400000000000034,0.0,-0.6099999999999994,-0.00999999999999801,0.10000000000000142,-0.04999999999999716,-0.8300000000000125,-0.0799999999999983,-0.5700000000000003,-0.6099999999999994,-0.1599999999999966,-0.15000000000000568,-0.3100000000000023,0.29999999999998295,0.04999999999999716,-0.5500000000000114,0.519999999999996,-0.09999999999999432,-0.5999999999999943
2016-05-24,0.6800000000000068,-1.0800000000000054,-0.2600000000000051,0.3100000000000023,,0.25,0.6299999999999955,-0.060000000000002274,-0.13000000000000256,0.9200000000000159,-1.1800000000000068,-1.4300000000000068,0.0,-0.1700000000000017,0.6000000000000085,-0.269999999999996,0.5600000000000023,1.4699999999999989,-0.37000000000000455,-0.8900000000000006,-0.5400000000000063,-0.4100000000000037,0.6700000000000017,-1.8299999999999983,1.8300000000000125,-0.4200000000000017,-1.7199999999999989,-0.21999999999999886,-0.5899999999999892,-0.21999999999999886
2016-05-25,0.9500000000000028,0.269999999999996,-0.8600000000000136,0.9399999999999977,,0.9500000000000028,0.29999999999999716,-0.060000000000002274,0.08999999999999986,3.1899999999999977,-0.2600000000000193,2.759999999999991,0.19000000000000128,0.1699999999999875,0.5799999999999983,-0.12999999999999545,-0.4899999999999949,0.9900000000000091,0.759999999999998,0.19999999999999574,-0.4799999999999969,0.23000000000000398,0.4000000000000057,-0.21999999999999886,0.20999999999997954,0.029999999999986926,-0.4399999999999977,0.21999999999999886,0.23000000000000398,-0.4100000000000108
2016-05-26,0.7299999999999898,-0.060000000000002274,0.8300000000000125,-1.1599999999999966,,-0.3499999999999943,-1.440000000000012,0.0799999999999983,-0.05000000000000071,-1.9399999999999977,-0.9200000000000159,0.8899999999999864,0.0,-0.20999999999999375,-0.539999999999992,-0.1599999999999966,-0.4100000000000108,-1.0999999999999943,-0.0799999999999983,-0.03999999999999915,0.20999999999999375,0.1700000000000017,-0.2600000000000051,-0.11999999999999034,-0.5200000000000102,-0.030000000000001137,0.4000000000000057,0.30999999999999517,0.1599999999999966,-0.45000000000000284
2016-05-27,0.9099999999999966,-0.12999999999999545,0.2599999999999909,0.19000000000001194,,-0.6400000000000006,-0.21000000000000796,-0.480000000000004,0.019999999999999574,-0.8300000000000125,-0.12999999999999545,0.4900000000000091,0.0,-0.01999999999999602,-0.22000000000001307,0.07000000000000028,-1.019999999999996,0.020000000000010232,0.020000000000003126,-0.3999999999999986,-0.01999999999999602,0.22999999999999687,-0.1600000000000108,0.5700000000000074,-1.0200000000000102,-0.27000000000001023,-0.8199999999999932,0.22999999999999687,-0.10999999999999943,-0.6099999999999994
2016-05-31,0.2600000000000051,0.060000000000002274,-3.7299999999999898,-0.480000000000004,,-1.1500000000000057,-1.8900000000000006,-0.6299999999999955,-0.10999999999999943,-0.9200000000000159,1.4499999999999886,1.1800000000000068,-0.0799999999999983,-0.5700000000000074,-0.46000000000000796,-0.37999999999999545,1.2399999999999949,1.0,0.23000000000000398,0.740000000000002,-1.1899999999999977,0.030000000000001137,-0.539999999999992,-0.09000000000000341,-0.9300000000000068,-0.18999999999999773,-0.9200000000000017,0.01999999999999602,-0.20000000000000284,-0.980000000000004
2016-06-01,-0.5600000000000023,0.46999999999999886,-0.4099999999999966,0.28999999999999204,,-0.8900000000000006,-1.1800000000000068,0.15000000000000568,0.07000000000000028,-2.069999999999993,-0.25,-0.4900000000000091,0.03999999999999915,-0.21000000000000796,-0.9299999999999926,-0.10000000000000142,-0.37000000000000455,-0.9099999999999966,-0.12999999999999545,0.4100000000000037,-1.6000000000000014,0.10000000000000142,-0.8400000000000034,-1.0900000000000034,-0.9499999999999886,-0.2599999999999909,-0.5300000000000011,-0.4399999999999977,0.0,-0.8099999999999881
2016-06-02,-0.12000000000000455,0.5499999999999972,0.19999999999998863,1.0200000000000102,,0.12999999999999545,1.8599999999999994,-0.6500000000000057,0.03999999999999915,-0.8599999999999852,0.5600000000000023,-0.9099999999999966,0.20000000000000284,1.6199999999999903,0.29000000000000625,0.01999999999999602,0.46999999999999886,-0.6700000000000159,0.38000000000000256,-0.1600000000000037,0.3100000000000023,0.17999999999999972,0.4200000000000017,0.10999999999999943,1.7800000000000011,0.5400000000000063,0.6800000000000068,-0.30000000000000426,0.0,0.3200000000000074
2016-06-03,0.12999999999999545,-0.04000000000000625,0.9599999999999937,1.3900000000000006,,0.009999999999990905,0.7600000000000051,0.09000000000000341,-0.0799999999999983,0.19000000000002615,-0.789999999999992,0.4899999999999807,-0.11999999999999744,0.29000000000000625,0.39000000000000057,0.28999999999999915,0.2599999999999909,-0.3299999999999841,-0.20000000000000284,0.5900000000000034,-0.8399999999999963,-0.17999999999999972,0.539999999999992,0.5,1.2299999999999898,-0.3199999999999932,0.39000000000000057,0.14999999999999858,0.30000000000001137,-0.06999999999999318
2016-06-06,0.6400000000000006,-0.39000000000000057,4.300000000000011,1.0600000000000023,,-0.1700000000000017,-0.25,-0.1799999999999926,-0.120000000000001,-0.8100000000000023,1.6299999999999955,-0.36000000000001364,-0.03999999999999915,0.7999999999999972,0.6400000000000006,0.27999999999999403,0.20999999999999375,1.2300000000000182,-0.5100000000000051,-0.14000000000000057,-0.529999999999994,-0.22999999999999687,0.36999999999999034,-0.6700000000000017,1.2300000000000182,-0.6200000000000045,0.25,-0.3500000000000014,-0.46999999999999886,-0.46999999999999886
